tconst,primaryTitle,genres,numVotes,averageRating,startYear,SeriesName
tt6352180,Little Witch Academia,"Animation,Comedy,Family",2325,7.9,2017,Little Witch Academia (2017)
tt6354518,The Disastrous Life of Saiki K.,"Animation,Comedy,Fantasy",3400,8.3,2016,The Disastrous Life of Saiki K. (2016)
tt6356086,Tunnel,"Fantasy,Thriller",1647,8.3,2017,Tunnel (2017)
tt6357658,Baki,"Action,Animation,Sport",3611,6.7,2018,Baki (2018)
tt6374028,8 Days,"Drama,Sci-Fi",1999,6.7,2019,8 Days (2019)
tt6383982,Otel Eleon,Comedy,1273,7.8,2016,Otel Eleon (2016)
tt6385540,Hilda,"Adventure,Animation,Comedy",6756,8.6,2018,Hilda (2018)
tt6385752,The Bride of Habaek,Fantasy,1468,6.9,2017,The Bride of Habaek (2017)
tt6392930,Swar Shuaib,Talk-Show,2857,7.6,2014,Swar Shuaib (2014)
tt6394324,Charmed,"Drama,Fantasy",13301,4.6,2018,Charmed (2018)
tt6396252,Ölene Kadar,Drama,2058,7.2,2017,Ölene Kadar (2017)
tt6398232,On Becoming a God in Central Florida,Comedy,3391,7.2,2019,On Becoming a God in Central Florida (2019)
tt6402190,Masamune-kun's Revenge,"Animation,Comedy,Drama",1342,6.4,2017,Masamune-kun's Revenge (2017)
tt6402362,Hard Sun,"Crime,Drama,Sci-Fi",4630,6.6,2018,Hard Sun (2018)
tt6404896,Constantine: City of Demons,"Animation,Fantasy,Horror",4961,7.6,2018,Constantine: City of Demons (2018)
tt6410708,The Replacement,"Crime,Drama,Thriller",2280,6.6,2017,The Replacement (2017)
tt6422944,Impractical Jokers: Inside Jokes,"Comedy,Reality-TV",2339,8.6,2016,Impractical Jokers: Inside Jokes (2016)
tt6423364,Bad Blood,"Crime,Drama",7369,7.5,2017,Bad Blood (2017)
tt6424454,Fate/Apocrypha,"Action,Animation,Drama",1716,6.5,2017,Fate/Apocrypha (2017)
tt6433844,Fallet,"Comedy,Crime",1456,6.8,2017,Fallet (2017)
tt6437276,For The People,Drama,4741,7.3,2018,For The People (2018)
tt6439562,Mind Field,Documentary,2274,8.8,2017,Mind Field (2017)
tt6439752,Snowfall,"Crime,Drama",10081,8.1,2017,Snowfall (2017)
tt6441720,The Good Karma Hospital,Drama,1531,7.8,2017,The Good Karma Hospital (2017)
tt6445112,Missions,"Drama,Sci-Fi",1168,6.7,2017,Missions (2017)
tt6445410,A mi kis falunk,Comedy,1399,8.2,2017,A mi kis falunk (2017)
tt6455986,Saga of Tanya the Evil,"Action,Animation,Fantasy",2012,7.7,2017,Saga of Tanya the Evil (2017)
tt6456546,The Cheat,"Action,Drama,Sci-Fi",4942,8.8,2017,The Cheat (2017)
tt6461346,Stranger,"Crime,Drama,Mystery",5219,8.6,2017,Stranger (2017)
tt6461706,Ten Days in the Valley,Drama,1368,6.1,2017,Ten Days in the Valley (2017)
