title,author,language,year,copiesSold,genre
Jaws,Peter Benchley,English,1974,20 million[95],
Love You Forever,Robert Munsch,English,1986,20 million[96],
The Women's Room,Marilyn French,English,1977,20 million[97],
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million[98],
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[99],
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[100],
Pride and Prejudice,Jane Austen,English,1813,20 million[101][102],
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[103],
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed)[104],
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[105],
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[106],
The Secret,Rhonda Byrne,English,2006,20 million[107],
Fear of Flying,Erica Jong,English,1973,20 million[108],
Dune,Frank Herbert,English,1965,20 million[109],
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[110],
The Naked Ape,Desmond Morris,English,1968,20 million[111]
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18 million (in Japan and China)[112]
Matilda,Roald Dahl,English,1988,17 million [113]
The Book Thief,Markus Zusak,English,2005,16 million [114]
The Horse Whisperer,Nicholas Evans,English,1995,16 million[115]
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[116]
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[117]
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in U.S.[118]
The Outsiders,S. E. Hinton,English,1967,15 million[119]
Guess How Much I Love You,Sam McBratney,English,1994,15 million[120]
Shōgun,James Clavell,English,1975,15 million[121]
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[122]
The Pillars of the Earth,Ken Follett,English,1989,15 million[123]
